Shipping_ID,Product_ID,Shipping_Address,City,State,Country,Postal_Code
0,2ef6e8fa-6a36-4515-b1c2-a0a700abf386,"PSC 2224, Box 2284
APO AP 65880",Jordanborough,Arkansas,Kuwait,27879
1,3ba38e01-f8e7-4af2-9246-87ef0961d4f5,"83909 Johnson Mall
Tranberg, MS 99017",Lake Ginatown,Georgia,Saint Vincent and the Grenadines,39336
2,a58c53bd-a34b-4541-b926-bec9eb84cac2,"82101 Johnson Flat
West Ryan, MS 29075",Sarahville,Ohio,France,30845
3,e6021be5-90be-4199-b6c6-82542fb2973c,"4542 Gary Lane
South Alexander, VI 27671",Lake Michelle,Arkansas,Sao Tome and Principe,30955
4,60127671-ab32-4fb5-bfeb-1a7782ad835e,"6794 Caroline Crescent
East Karlside, GU 81379",Olsenville,Mississippi,Croatia,45429
5,0d1b37a3-8159-4e28-841b-06971fe73e28,"PSC 0419, Box 9123
APO AP 47991",Priceville,South Dakota,Peru,96819
6,9e82b85c-d4d6-4235-91f1-137fb41529ca,"9400 Angela Motorway
Joannaborough, OR 84735",West Peter,Nevada,Solomon Islands,82007
7,48ba3e86-167d-4b02-a5e8-0885e946edcb,"63672 Raymond Mill
Cobbview, SD 63353",East Kevin,Maine,Ireland,52315
8,74416f33-d5da-409c-b483-ac019b19f5c3,"859 Cohen Brook Apt. 295
Hardyfort, FM 49293",Crystalborough,New Jersey,Portugal,27390
9,69caf9a6-a313-489d-a21e-1bcab6ea430e,"1844 Amy Court
Cristinaport, FM 00824",Heathermouth,Nebraska,Australia,30613
10,2009dc42-c675-48f2-aef9-b3a86556d508,"2263 Campbell Ville Apt. 134
North Theresa, MD 97457",New Garybury,Washington,Myanmar,58038
11,d47180ed-6607-4dd0-a521-303b187bfeb3,"0489 Tony Burg Suite 682
Brentland, LA 95298",Christopherview,Kentucky,Korea,22744
12,d96c5a13-1fbd-43a3-bcfc-83f5b139403b,"676 Maurice Path
Lake Lisaborough, SD 06695",East Nathanielville,Maryland,Reunion,59258
13,0a59ce14-fd99-4ded-bd19-4b22a52543fa,"3861 Michael Dale Apt. 112
South Lindafort, MT 64927",Olsonchester,North Dakota,Bolivia,1711
14,152d1d94-2f29-4bd0-a1c7-8e3489a65c0f,"224 Santos Center Suite 540
West Matthewshire, AR 69104",North Janet,Vermont,Lebanon,25394
15,82a088c5-b4be-4e1c-90d5-5fd8c20080fe,"37424 Nancy Walk
North Tony, VI 98230",Smithville,West Virginia,Estonia,58925
16,273e9342-c3f2-47b0-b00d-81cfe7c77be9,"6454 Christopher Drive
Wallacemouth, WA 90990",Lake Jasonville,Kentucky,Tunisia,31393
17,b4ff33f4-c0c5-44fa-b179-25968b3c803b,"107 Richard Hill
South Georgechester, MH 31843",South Katherineburgh,Ohio,Wallis and Futuna,26992
18,0e4bdf71-b57c-455d-bc95-375f945af521,"247 Mary Pine
Ericmouth, WI 87873",Christopherside,Oklahoma,Trinidad and Tobago,22897
19,ff4c2f8f-fec1-4b20-9de3-12e0cbc57993,"42205 Young Drive
South Michaelaside, MS 46008",New Joelport,North Carolina,Australia,48329
20,19d59b65-6a65-4d3d-bd81-2be4b930378a,"77634 Timothy Drive
Port Robertland, GU 28486",Roberthaven,Virginia,Algeria,33098
21,3e15d4ff-0375-4164-937a-b0dfd6739f0f,"263 David Haven
Amymouth, CA 00599",South Randallstad,New York,Macao,44171
22,15d270d3-226e-4503-924f-39c193400892,"643 Thomas Mountains Apt. 386
East Christophermouth, KS 00675",Browningstad,New York,Wallis and Futuna,88315
23,4e32733c-2c39-4aa7-b75a-b0736639ab0b,"832 Matthew Streets Apt. 793
Juliaberg, DC 68369",Angelaborough,Vermont,Cameroon,61751
24,df76abe5-3360-4c54-9890-7ec2645c7fc0,"4973 Megan Light
North Kelly, NV 23385",South Scott,Kentucky,Montenegro,4853
25,60c0b1ca-a734-4e07-8e1f-c8a269664b42,"272 Allen Roads
East Mitchell, AS 78518",Christopherchester,New Jersey,Turkmenistan,15543
26,ab6a1e20-ef43-4c5a-8e05-54d757e653e1,"445 James Fall
Lake Kimfurt, OK 68689",Davisshire,Mississippi,Martinique,80852
27,cca822d5-f235-4e93-bddb-5773982c80d8,"619 David Keys Suite 405
South David, FL 68663",West Jose,Indiana,Liberia,23405
28,066618f8-ec72-47ff-88f6-8bd11825a70d,"USNS Wong
FPO AE 10909",South Dennis,Delaware,Isle of Man,636
29,837ff513-33b8-42da-9af8-94a1d89badbb,"7745 Francis Station
Derekhaven, WI 19254",Lisashire,Kansas,Northern Mariana Islands,41079
30,5fdec2be-913e-427a-8612-5657df06d851,"80056 Melissa Gardens
Bryanthaven, OK 71796",Williamsberg,Washington,Andorra,79852
31,a637109e-42d2-49f1-be6e-99fb5ecaeccb,"2313 Martinez Road Suite 582
Port William, CA 01786",Longchester,Georgia,Palestinian Territory,15961
32,1f414aad-0080-4dbe-937c-5582f51a3d3f,"9656 Jessica Mission Apt. 152
East Stephenstad, AZ 49785",North Rebecca,Minnesota,Antarctica (the territory South of 60 deg S),12710
33,4f0c2e2b-785a-49b7-8a7c-a01dff4e2a91,"75156 Jones Turnpike Suite 326
Brittanyburgh, VT 16067",West Katherine,Kentucky,Germany,37349
34,7a3e7d47-7962-46e1-9441-b50d3435fb0b,"9370 Gonzalez Ferry
Morrisonfort, TX 76548",Kellyland,Nebraska,Swaziland,16075
35,ea68ec4b-bad8-412e-9d0c-ee5e9e73a13f,"3423 Donald Lights Apt. 169
Kimbury, HI 42823",Michaelside,South Dakota,Ecuador,96819
36,6a065eb2-450c-443a-8359-57b14d25f536,"091 Cruz Avenue Apt. 406
Reidborough, CA 31440",East Mary,Idaho,Madagascar,59740
37,fd76f3c8-2fc3-47f7-8fed-f09a485e942b,"402 Michael Union
Mcfarlandstad, PA 26755",Pamelaland,Alaska,Cape Verde,80134
38,9f4dfc84-0dfd-4b9f-bc6d-10c06799c149,"5111 Miller Circles Apt. 058
North Kathryn, AK 69280",East Matthewview,Ohio,Mauritania,15153
39,91df663e-d9b0-496e-88c0-80fc1530bf08,"64360 Bullock Branch
Lake Gloriachester, NM 02328",South Mark,Michigan,Singapore,38760
40,faf90bdb-cc47-40d7-9996-b289c3ed2516,"Unit 7171 Box 8403
DPO AE 63505",Donaldmouth,New Jersey,Guadeloupe,64195
41,3c644b7b-fe14-465b-a1da-0bd5c83ddb9c,"907 Hudson Valley Apt. 615
Christopherhaven, NY 43832",Petersonberg,Mississippi,Iraq,42074
42,b3fcbea2-1955-47e8-bc02-e54d26c09f01,"9944 Courtney Locks Suite 476
Mcgrathside, FL 98564",Josephfurt,New Hampshire,Saint Martin,81839
43,dba8f77d-ef0a-478a-beea-f946f30d3f93,"02362 Holmes Mills
Lake Joshuastad, MA 11967",Alexandertown,Pennsylvania,Benin,50782
44,2fc87886-83d2-410a-9cd5-6df72a7eb40c,"7891 Debra Green Suite 310
Sethshire, HI 06625",Perrymouth,Colorado,Grenada,54469
45,0c971c5f-e562-47cd-887c-ee47a8b1c7a7,"92465 Heidi Dam Apt. 283
Lake Moniquefurt, MI 85122",West Kristina,Minnesota,Grenada,62890
46,c914ba2f-b190-47fc-a759-00305434d424,"541 White Turnpike Apt. 850
Johnsonfurt, TN 26786",East Lorihaven,Indiana,Svalbard & Jan Mayen Islands,62367
47,d8357fee-f454-4ee8-978a-d368a46dacbd,"60278 Stephanie Pike
South Marisafurt, FL 19548",Sharonside,Rhode Island,Kyrgyz Republic,14521
48,f0d85061-412d-4c8a-86d1-b12eb2ec705b,"187 Hansen Spur
North Mirandaberg, OK 44149",Vincentside,Massachusetts,Philippines,34835
49,503a6ff8-007f-42bc-b3ac-fef09a99dfb6,"8357 Tamara Loaf Apt. 358
North Mauriceberg, PR 61943",East David,Vermont,Brunei Darussalam,91637
50,b7b4d358-0fbc-4b51-bd16-1307d8d88ec2,"79194 Morrow Well
Prestonport, FM 19396",Lake Hannah,Georgia,Central African Republic,32130
51,f97e6b4f-6532-4bd1-a773-5adabc17cc6c,"9515 Brandon Hollow Apt. 646
Port Diana, MT 57151",New Erin,Illinois,Samoa,34188
